selection_manual_fix,weighted_votes
Tokyo Story,26
Vertigo,24
Citizen Kane,22
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",21.5
8½,19
Pather Panchali,19
In The Mood For Love,18
Rashomon,18
The Godfather,17.5
Bicycle Thieves,16.5
2001: A Space Odyssey,13.5
Beau Travail,13.5
Man With A Movie Camera,12.5
À Bout De Souffle,12
Late Spring,11.5
Mirror,11
The Searchers,11
Apocalypse Now,10.5
Persona,10.5
Taxi Driver,10.5
A Brighter Summer Day,10
La Règle Du Jeu,10
Battleship Potemkin,9.5
Close-Up,9
Mulholland Dr.,9
Playtime,9
Seven Samurai,9
Stalker,9
The Passion Of Joan Of Arc,9
Au Hasard Balthazar,8.5
Singin' In The Rain,8.5
Histoire(S) Du Cinéma,8
Charulata,7.5
L'atalante,7.5
Sátántangó,7.5
Sunrise: A Song Of Two Humans,7.5
Céline And Julie Go Boating,7
Barry Lyndon,6.5
Psycho: 1960,6.5
Wild Strawberries,6.5
Daisies,6
Hiroshima Mon Amour,6
M,6
Meshes Of The Afternoon,6
Metropolis,6
Syndromes And A Century,6
Cléo From 5 To 7,5.5
Le Mépris,5.5
Madame De...,5.5
Modern Times,5.5
The Battle Of Algiers,5.5
The Conformist,5.5
The Leopard,5.5
Andrei Rublev,5
Cinema Paradiso,5
Fear Eats The Soul,5
Gertrud,5
Journey To Italy,5
La Jetée,5
La Strada,5
Once Upon A Time In The West,5
Portrait Of A Lady On Fire,5
Pyaasa,5
Shoah,5
Subarnarekha,5
The 400 Blows,5
The Spirit Of The Beehive,5
L'avventura,4.5
Meghe Dhaka Tara,4.5
The Piano,4.5
Three Colours Blue,4.5
Vivre Sa Vie,4.5
Where Is The Friend's House?,4.5
Chungking Express,4
Dekalog,4
India Song,4
La Notte,4
Parasite,4
Rear Window,4
Some Like It Hot,4
The Gleaners And I,4
The Umbrellas Of Cherbourg,4
There Will Be Blood,4
Wanda,4
Yi Yi,4
All About My Mother,3.5
Bab Al-Hadid,3.5
El Mumia,3.5
Gangs Of Wasseypur,3.5
News From Home,3.5
North By Northwest,3.5
The Colour Of Pomegranates,3.5
The Crowd,3.5
The Exterminating Angel,3.5
Trouble In Paradise,3.5
An Elephant Sitting Still,3.3333333333333335
Taste Of Cherry,3.3333333333333335
Tropical Malady,3.3333333333333335
A City Of Sadness,3
A Woman Under The Influence,3
"Aguirre, Wrath Of God",3
Ahfei Zhenjuang,3
Alexandrie Encore Et Toujours,3
Aparajito,3
"Bom, Teoreum, Gaeul, Gyeowool, Geurigo, Bom",3
Campanadas A Medianoche,3
Come And See,3
Cries And Whispers,3
"Goodbye, Dragon Inn",3
Hsimeng Jensheng,3
Johnny Guitar,3
Kurutta Ippeiji,3
La Dolce Vita,3
La Maman Et La Putain,3
La Région Centrale,3
Last Year At Marienbad,3
Letter From An Unknown Woman,3
Marnie,3
Nashville,3
Nostalghia,3
Once Upon A Time In America,3
Once Upon A Time In Anatolia,3
Only Angels Have Wings,3
Orlando,3
Pickpocket,3
Red Desert,3
Saikaku Ichidai Onna,3
Sarineui Chueok,3
Solaris,3
Soleil Ô,3
Spring In A Small Town,3
The Apartment,3
The Godfather Part Ii,3
The Headless Woman,3
The Shining,3
The Wild Bunch,3
Wandafuru Raifu,3
Yol,3
Zama,2.8333333333333335
All That Heaven Allows,2.5
Black Girl,2.5
Bringing Up Baby,2.5
Days Of Heaven,2.5
Heat,2.5
Le Bonheur,2.5
Sholay,2.5
The Hour Of The Furnaces,2.5
The Seventh Seal,2.5
Casablanca,2.3333333333333335
A Lullaby To The Sorrowful Mystery,2
A Man Escaped,2
Akahige,2
Alien,2
Amadeus,2
Apur Sansar,2
Army Of Shadows,2
Artificial Intelligence  A.i.,2
Berlin Symphony Of A City,2
Beshkempir,2
Blade Runner,2
Blowup,2
Brief Encounter,2
"Buongiorno, Notte",2
City Lights,2
Closely Observed Trains,2
D'est,2
Daughters Of The Dust,2
"Distant Voices, Still Lives",2
Double Indemnity,2
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,2
Duvidha,2
E.t.  The Extra-Terrestrial,2
East Of Eden,2
Elippathayam,2
Europa '51,2
Faces Places,2
Flowers Of Shanghai,2
Francesco Giullare Di Dio,2
French Cancan,2
Gabbeh,2
Goodfellas,2
Hard To Be A God,2
Hitori Musuko,2
Holy Motors,2
House Of Hummingbird,2
Il Posto,2
Imitation Of Life: 1959,2
Inception,2
"Je, Tu, Il, Elle",2
Joi-Uchi,2
Jules Et Jim,2
Kaagaz Ke Phool,2
Kaidan,2
Kaili Blues,2
L' Empire Des Sens,2
La Coquille Et Le Clergyman,2
La Nuit Américaine,2
Ladies' Man,2
Le Notti Di Cabiria,2
Les Vampires,2
Letyat Zhuravli,2
Lola Montès,2
Mad Max: Fury Road,2
Magnolia,2
Make Way For Tomorrow,2
Melancholia: 2011,2
Mia Eoniotita Ke Mia Mera,2
Monsoon Wedding,2
Morvern Callar,2
Mouchette,2
Mughal-E-Azam,2
Napoléon,2
Nosferatu  Phantom Der Nacht,2
Notorious,2
Onna Ga Kaidan O Agaru Toki,2
Ordet,2
Our Hospitality,2
Out 1,2
Out Of The Past,2
"Paris, Texas",2
Princess Mononoke,2
Pulp Fiction,2
Qingmei Zhuma,2
Raging Bull,2
"Right Now, Wrong Then",2
Rosetta,2
Route One/Usa,2
Rudao Longhu Bang,2
Salam Cinéma,2
Sans Soleil,2
Sansho The Bailiff,2
Sherlock Jr.,2
Siddheshwari Devi,2
Spirited Away,2
Sullivan's Travels,2
Suna No Onna,2
Sunset Blvd.,2
Teorema,2
The Age Of Innocence,2
The Assassin,2
The Back Of Beyond,2
The House Is Black,2
The Intruder,2
The Lives Of Others,2
The Magnificent Seven,2
The Master,2
The Night Of The Hunter,2
The Scarlet Empress,2
The Third Man,2
The Virgin Suicides,2
The Wind,2
To Be Or Not To Be,2
Tongnian Wangshi,2
"Too Early, Too Late",2
Touch Of Evil,2
Tout Va Bien,2
Tristana,2
Trois Couleurs Rouge,2
Twin Peaks: The Return,2
Ugetsu Monogatari,2
Uncle Boonmee Who Can Recall His Past Lives,2
Wake In Fright,2
Werckmeister Harmonies,2
West Of The Tracks,2
West Side Story,2
Wo Hu Zang Long,2
Yeelen,2
Zangiku Monogatari,2
Akira Kurosawa's Dreams,1.5
Ashes And Diamonds,1.5
Blue Velvet,1.5
Carol,1.5
Clueless,1.5
Die Bitteren Tränen Der Petra Von Kant,1.5
"Germania, Anno Zero",1.5
Grave Of The Fireflies,1.5
Happy Together,1.5
Ikiru,1.5
Intervention Divine,1.5
La Commune,1.5
Lola,1.5
Love Streams,1.5
Nosferatu,1.5
Nostalgia For The Light,1.5
Raiders Of The Lost Ark,1.5
Ratcatcher,1.5
Rocky,1.5
Suspiria,1.5
The Mortal Storm,1.5
The Red Shoes,1.5
The River: 1951,1.5
The Silence Of The Lambs,1.5
To Sleep With Anger,1.5
Why Is Yellow The Middle Of The Rainbow?,1.5
Written On The Wind,1.5
Hyènes,1.3333333333333333
Stars In Broad Daylight,1.3333333333333333
"""F For Fake""",1
(Nostalgia),1
12 Angry Men,1
13th,1
1900,1
2 Days In Paris,1
20 Feet From Stardom,1
21 Grams,1
24 Hour Psycho,1
3 Idiots,1
36 Chowringhee Lane,1
"4 Luni, 3 Saptamini Si 2 Zile",1
A Clockwork Orange,1
A Dog's Life,1
A Few Good Men,1
A Guest Of Life: Alexander Csoma De Koros,1
A Matter Of Life And Death,1
A New Leaf,1
A Star Is Born,1
About Elly,1
Afterimage,1
Aiqing Wansui,1
Ajantrik,1
Akira,1
Al Makhdou-Oun,1
Alice,1
Alice Doesn't Live Here Anymore,1
All About Eve,1
All Around Us,1
All The President's Men,1
"All Three, He Said (Goft Har Se Nafareshan)",1
Always For Pleasure,1
Amarcord,1
Amélie,1
Amistad,1
Amour,1
Anantaram,1
Anatomy Of A Murder,1
Ankur,1
Annie Hall,1
Aranyer Din Ratri,1
Arnulf Rainer,1
Aruitemo Aruitemo,1
Atheis,1
Bad Luck Banging Or Loony Porn,1
Bakushû,1
Balcon En Afrique,1
Banbianren,1
Bandit Queen,1
Being There,1
Beneath The Valley Of The Ultra Vixens,1
Berlin Alexanderplatz,1
Bes Vakit,1
Bharat Mata,1
Bigger Than Life,1
Biruma No Tategoto,1
Black Narcissus,1
Black Swan,1
Blackkklansman,1
Bonjour Tristesse,1
Bonnie And Clyde,1
Boyhood,1
Breakfast On The Grass,1
Brief Encounters,1
Brokeback Mountain,1
Bus Driver,1
By The Bluest Of Seas,1
C'eravamo Tanto Amati,1
Café Lumière,1
Canoa,1
Castle In The Sky,1
Cat People,1
Century Of Birthing,1
Cet Obscur Objet Du Désir,1
Chandralekha,1
Charade,1
Chichi Ariki,1
Chinatown,1
Chopper,1
Chunhyang,1
City Hall,1
Close Encounters Of The Third Kind,1
Clouds Of Sils Maria,1
Commingled Containers,1
Conan The Barbarian,1
Copie Conforme,1
Cousins,1
Crash,1
Crush And Blush,1
Cure,1
Cut-Off Movie,1
Czlowiek Z Marmuru,1
Dachimawa Lee,1
Dainah La Métisse,1
Dama S Sobachkoy,1
"Dance, Girl, Dance",1
Dancer In The Dark,1
Dances With Wolves,1
Daoma Zei,1
Das Weisse Band Eine Deutsche Kindergeschichte,1
Dawn Of The Dead,1
De Son Appartement,1
De Stilte Rond Christine M.,1
Dead Man,1
Dead Ringers,1
Deewaar,1
Démanty Noci,1
Der Blaue Engel,1
Der Tiger Von Eschnapur,1
Der Tod Des Empedokles,1
Detour,1
Deux Anglaises Et Le Continent,1
Diary Of A Mad Housewife,1
Die Abenteuer Des Prinzen Achmed,1
Die Bleierne Zeit,1
Die Hard,1
Die Nibelungen  1 Teil: Siegfried,1
Die Wunderbare Lüge Der Nina Petrowna,1
Dil Se..,1
Do The Right Thing,1
Dog Star Man,1
Don't Look Now,1
"Dr. Mabuse, Der Spieler 1. Teil: Der Große Spieler  Spieler - Ein Bild Unserer Zeit",1
Dragon Gate Inn,1
Dragon Inn,1
Drive,1
Drug War,1
Duck Soup,1
Dune  Part One,1
Earth,1
Easy Living,1
Ee.ma.yau.,1
Eika Katappa,1
El,1
El Espinazo Del Diablo,1
Election,1
Elephant Keeper,1
Elle,1
Episode 8 Of Season 3 Of Twin Peaks,1
Eraserhead,1
Esthappan,1
Eternal Sunshine Of The Spotless Mind,1
F For Fake,1
Fantasia,1
Fantastic Mr. Fox,1
Faust,1
Filibusterismo,1
First Cow,1
For A Few Dollars More,1
Friday Night Bites,1
Funny Games,1
Garm Hava,1
Gazl El Banat,1
Germany In Autumn,1
Gion No Shimai,1
Glissements Progressifs Du Plaisir,1
Gloria: 1980,1
Go Fish,1
Gone With The Wind,1
Good Will Hunting,1
Great Day,1
Greed,1
Groundhog Day,1
Guizi Lai Le,1
Gulaal,1
Hable Con Ella,1
Hana Chirinu,1
Hana-Bi,1
Hanyo,1
Happy Hour,1
Harmony Lessons,1
Heaven's Gate,1
"Hi, Mom!",1
Hidden,1
High And Low,1
Honogurai Mizuno Sokokara,1
Howl's Moving Castle,1
I Am Cuba,1
I Am Somebody,1
I Was A Teenage Serial Killer,1
Ici Et Ailleurs,1
If Beale Street Could Talk,1
If....,1
Imitation Of Life: 1934,1
