selection,rank_2012_c,rank_2022_c,rank_2012_d,rank_2022_d,total
Vertigo,1,2,7,6,388
Citizen Kane,2,3,2,2,395
Tokyo Story,3,4,1,4,392
"Règle du jeu, La",4,13,22,38,327
Sunrise,5,11,22,33,333
2001: A Space Odyssey,6,6,2,1,389
"Searchers, The",7,15,47,72,263
Man with a Movie Camera,8,9,47,30,310
Passion of Joan of Arc,9,21,37,30,307
8½,10,31,4,6,353
Battleship Potemkin,11,54,75,93,171
"Atalante, L'",12,34,22,46,290
Breathless,13,38,11,14,328
Apocalypse Now,14,19,6,18,347
Late Spring,15,21,101,62,205
Au Hasard Balthazar,16,25,21,37,305
Persona,17,18,15,9,345
Seven Samurai,17,20,17,14,336
Mirror,19,31,9,8,337
Singin' in the Rain,20,10,67,53,254
"Avventura, L'",21,72,30,38,243
"Godfather: Part I, The",21,12,7,3,361
"mépris, Le",21,54,44,46,239
In The Mood For Love,24,5,67,9,299
Ordet,24,48,19,30,283
Rashomon,24,41,18,20,301
Andrei Rublev,27,67,13,26,271
Mulholland Dr,28,8,75,22,271
Shoah,29,27,47,72,229
Stalker,29,43,30,14,288
"Godfather: Part II, The",31,101,30,26,216
Taxi Driver,31,29,5,12,327
"Bicycle Thieves, The",33,41,10,20,300
"General, The",34,95,75,101,99
Psycho,34,31,47,46,246
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",36,1,101,4,262
Metropolis,36,67,101,101,99
Sátántangó,36,78,101,62,127
"400 Blows, The",39,50,13,34,268
"dolce vita, La",39,60,37,34,234
Journey to Italy,41,72,67,101,123
Pather Panchali,41,35,47,22,259
Close-Up,43,17,37,9,298
Gertrud,43,101,59,101,100
Pierrot le Fou,43,84,93,101,83
Playtime,43,23,37,41,260
Some Like It Hot,43,38,37,62,224
"Battle of Algiers, The",48,45,26,22,263
Histoire(s) du cinéma,48,84,101,101,70
City Lights,50,36,30,101,187
"Jetée, La",50,67,101,34,152
Ugetsu Monogatari,50,90,67,101,96
North by Northwest,53,45,101,101,104
Raging Bull,53,101,12,22,216
Rear Window,53,38,47,101,165
M,56,36,75,101,136
"Leopard, The",57,90,101,101,55
Touch of Evil,57,101,26,101,119
Barry Lyndon,59,45,19,12,269
"Maman et la putain, La",59,101,93,53,98
Sansho Dayu,59,75,101,101,68
Sherlock Jr,59,54,101,101,89
Modern Times,63,78,22,72,169
"Night of the Hunter, The",63,25,26,41,249
Pickpocket,63,101,47,93,100
Rio Bravo,63,101,101,101,38
Sunset Blvd.,63,78,67,62,134
Wild Strawberries,63,101,101,72,67
Blade Runner,69,54,67,62,152
Blue Velvet,69,84,59,72,120
"Man Escaped, A",69,95,37,41,162
Sans Soleil,69,59,93,72,111
"eclisse, L'",73,101,47,101,82
"enfants du paradis, Les",73,101,101,101,28
"grande illusion, La",73,101,59,101,70
Nashville,73,101,101,101,28
"Third Man, The",73,63,101,101,66
Beau Travail,78,7,93,14,212
Chinatown,78,101,93,72,60
Once Upon a Time in the West,78,95,44,46,141
Lawrence of Arabia,81,101,47,62,113
"Magnificent Ambersons, The",81,101,101,101,20
"Spirit of the Beehive, The",81,84,101,72,66
"Brighter Summer Day, A",84,78,101,72,69
Casablanca,84,63,101,101,55
"Colour of Pomegranates, The",84,101,101,93,25
Fanny and Alexander,84,101,15,53,151
Greed,84,101,101,101,17
"Wild Bunch, The",84,101,75,101,43
"Aguirre, Wrath of God",90,101,59,101,53
"Matter of Life and Death, A",90,78,101,101,34
Partie de campagne,90,101,101,101,11
"chien andalou, Un",93,101,93,101,16
Fear Eats the Soul,93,52,75,53,131
Imitation of Life,93,75,101,101,34
Intolerance,93,101,101,101,8
"Life and Death of Colonel Blimp, The",93,101,101,101,8
Madame de…,93,90,101,101,19
"One and a Two, A",93,101,101,101,8
"Seventh Seal, The",93,101,75,72,63
Touki Bouki,93,66,101,72,72
"Apartment, The",101,54,44,101,104
Black Girl,101,95,101,101,6
Celine and Julie Go Boating,101,78,101,101,23
Chungking Express,101,88,101,101,13
Cleo from 5 to 7,101,14,101,53,135
