selection,n
Vertigo,191
Citizen Kane,157
Tokyo Story,107
"Règle du jeu, La",100
Sunrise,93
2001: A Space Odyssey,90
"Searchers, The",78
Man with a Movie Camera,68
Passion of Joan of Arc,65
8½,64
Battleship Potemkin,63
"Atalante, L'",58
Breathless,57
Apocalypse Now,53
Late Spring,50
Au Hasard Balthazar,49
Persona,48
Seven Samurai,48
Mirror,47
Singin' in the Rain,46
"Avventura, L'",43
"Godfather: Part I, The",43
"mépris, Le",43
In The Mood For Love,42
Ordet,42
Rashomon,42
Andrei Rublev,41
Mulholland Dr,40
Shoah,39
Stalker,39
"Godfather: Part II, The",38
Taxi Driver,38
"Bicycle Thieves, The",37
"General, The",35
Psycho,35
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",34
Metropolis,34
Sátántangó,34
"400 Blows, The",33
"dolce vita, La",33
Journey to Italy,32
Pather Panchali,32
Close-Up,31
Gertrud,31
Pierrot le Fou,31
Playtime,31
Some Like It Hot,31
"Battle of Algiers, The",30
Histoire(s) du cinéma,30
City Lights,29
"Jetée, La",29
Ugetsu Monogatari,29
North by Northwest,28
Raging Bull,28
Rear Window,28
M,27
"Leopard, The",26
Touch of Evil,26
Barry Lyndon,25
"Maman et la putain, La",25
Sansho Dayu,25
Sherlock Jr,25
Modern Times,24
"Night of the Hunter, The",24
Pickpocket,24
Rio Bravo,24
Sunset Blvd.,24
Wild Strawberries,24
Blade Runner,23
Blue Velvet,23
"Man Escaped, A",23
Sans Soleil,23
"eclisse, L'",22
"enfants du paradis, Les",22
"grande illusion, La",22
Nashville,22
"Third Man, The",22
Beau Travail,21
Chinatown,21
Once Upon a Time in the West,21
Lawrence of Arabia,20
"Magnificent Ambersons, The",20
"Spirit of the Beehive, The",20
"Brighter Summer Day, A",19
Casablanca,19
"Colour of Pomegranates, The",19
Fanny and Alexander,19
Greed,19
"Wild Bunch, The",19
"Aguirre, Wrath of God",18
"Matter of Life and Death, A",18
Partie de campagne,18
"chien andalou, Un",17
Fear Eats the Soul,17
Imitation of Life,17
Intolerance,17
"Life and Death of Colonel Blimp, The",17
Madame de…,17
"One and a Two, A",17
"Seventh Seal, The",17
Touki Bouki,17
"Conformist, The",16
Ivan the Terrible,16
Last Year At Marienbad,16
Meshes of the Afternoon,16
"Travelling Players, The",16
"Tree of Life, The",16
Two or Three Things I Know About Her…,16
Wavelength,16
"Age d'Or, L'",15
"argent, L'",15
Bringing Up Baby,15
"Lady Eve, The",15
"olvidados, Los",15
"Passenger, The",15
Performance,15
"River, The",15
Viridiana,15
Amarcord,14
"Canterbury Tale, A",14
"City of Sadness, A",14
Days of Heaven,14
Dr. Strangelove,14
"Man Who Shot Liberty Valance, The",14
Mouchette,14
Nosferatu,14
"Red Shoes, The",14
Trouble in Paradise,14
Annie Hall,13
"Apartment, The",13
Celine and Julie Go Boating,13
Do The Right Thing,13
Don't Look Now,13
Hiroshima Mon Amour,13
Ikiru,13
Jules et Jim,13
"Last Laugh, The",13
Meet Me In St. Louis,13
Out 1,13
Pulp Fiction,13
Spring in a Small Town,13
Three Colours: Blue,13
Tropical Malady,13
Blow Up,12
Chungking Express,12
Diary of a Country Priest,12
"Great Dictator, The",12
Memories of Underdevelopment,12
Napoleon,12
To Be or Not To Be,12
Vivre Sa Vie,12
"Wizard of Oz, The",12
"Woman Under the Influence, A",12
Black Narcissus,11
Brief Encounter,11
Chimes at Midnight,11
Come And See,11
Cries and Whispers,11
"Distant Voices, Still Lives",11
"Gold Rush, The",11
Hidden,11
In a Lonely Place,11
Letter From an Unknown Woman,11
Marketa Lazarová,11
My Neighbour Totoro,11
Once Upon a Time in America,11
Only Angels Have Wings,11
"Shining, The",11
Solaris,11
Vampyr,11
Earth,10
Goodfellas,10
His Girl Friday,10
Kind Hearts and Coronets,10
King Kong,10
Notorious,10
Star Wars,10
Sweet Smell of Success,10
Tabu,10
"Trip to the Moon, A",10
"Umbrellas of Cherbourg, The",10
"Werckmeister Harmonies, The",10
"""I Know Where I'm Going!""",9
Breaking the Waves,9
"Conversation, The",9
Day of Wrath,9
"Discreet Charm of the Bourgeoisie, The",9
E.T.,9
Eraserhead,9
Faces,9
"Grapes of Wrath, The",9
"I Was Born, But…",9
Listen to Britain,9
"Music Room, The",9
Out of the Past,9
"Paris, Texas",9
Rome Open City,9
"Story of the Late Chrysanthemums, The",9
"Texas Chainsaw Massacre, The",9
"Thin Red Line, The",9
"Touch of Zen, A",9
Army of Shadows,8
Badlands,8
Berlin Alexanderplatz,8
"Big Sleep, The",8
Chelsea Girls,8
Cleo from 5 to 7,8
Daisies,8
"Death of Mr Lazarescu, The",8
"Devil Probably, The",8
Duck Soup,8
"Exterminating Angel, The",8
Floating Clouds,8
Germany Year Zero,8
Killer of Sheep,8
Kings of the Road,8
"Life of Oharu, The",8
Love Streams,8
Manhattan,8
Paisà,8
Red Desert,8
Russian Ark,8
"Salo, or The 120 Days of Sodom",8
"Shop Around the Corner, The",8
Spirited Away,8
"strada, La",8
"Tale of Tales, A",8
There Will Be Blood,8
"Turin Horse, The",8
Uncle Boonmee Who Can Recall His Past Lives,8
Videodrome,8
WALL-E,8
Wanda,8
West of the Tracks,8
A nos Amours,7
All About Eve,7
All About My Mother,7
All That Heaven Allows,7
"Autumn Afternoon, An",7
"Band Wagon, The",7
Belle de Jour,7
"Big Lebowski, The",7
Blissfully Yours,7
By the Bluest of Seas,7
"Cabinet of Dr Caligari, The",7
"Clockwork Orange, A",7
"Cloud-Capped Star, The",7
Colossal Youth,7
Death in Venice,7
"demoiselles de Rochefort, Les",7
"Double Life of Veronique, The",7
F for Fake,7
Flowers of Shanghai,7
Gone with the Wind,7
"Gospel According to St Matthew, The",7
"House is Black, The",7
How Green Was My Valley,7
Husbands,7
Kes,7
Melancholia,7
"Moment of Innocence, A",7
My Darling Clementine,7
Pandora's Box,7
"Piano, The",7
"Puppetmaster, The",7
Red River,7
Rocco and his Brothers,7
"Samouraï, Le",7
Shadows,7
Sicilia!,7
Stromboli,7
Sullivan's Travels,7
"Testament of Dr Mabuse, The",7
"Thin Blue Line, The",7
Three Colours: Red,7
Throne of Blood,7
Two-Lane Blacktop,7
Umberto D,7
Where is My Friend's House?,7
"White Ribbon, The",7
"Wind Will Carry Us, The",7
"World of Apu, The",7
Alien,6
Ashes and Diamonds,6
"Best Years of Our Lives, The",6
"Birds, The",6
"Black God, White Devil",6
Charulata,6
"Crowd, The",6
Days of Being Wild,6
Dekalog,6
Dogville,6
Double Indemnity,6
French Cancan,6
"Good, the Bad and the Ugly, The",6
"Green Ray, The",6
Groundhog Day,6
I am Cuba,6
In a Year of 13 Moons,6
India Song,6
Inland Empire,6
It's a Wonderful Life,6
Ivan's Childhood,6
Johnny Guitar,6
"Lady from Shanghai, The",6
Marnie,6
My Night with Maud,6
Night and Fog,6
Nostalghia,6
Nouvelle Vague,6
October,6
Pyaasa,6
"Quince Tree Sun, The",6
"Rise to Power of Louis XIV, The",6
Rosemary's Baby,6
Shadows of Our Forgotten Ancestors,6
"Taste of Cherry, The",6
Through the Olive Trees,6
Wagon Master,6
Wings of Desire,6
Xala,6
Yeelen,6
"Affair to Remember, An",5
Aguaespejo granadino,5
"Birth of a Nation, The",5
Black Girl,5
Broken Blossoms,5
Casino,5
Closely Observed Trains,5
