selection,n
Tokyo Story,48
2001: A Space Odyssey,42
Citizen Kane,42
8½,40
Taxi Driver,34
Apocalypse Now,33
"Godfather: Part I, The",31
Vertigo,31
Mirror,30
"Bicycle Thieves, The",29
Breathless,27
Raging Bull,26
"400 Blows, The",25
Andrei Rublev,25
Fanny and Alexander,24
Persona,24
Seven Samurai,22
Rashomon,21
Barry Lyndon,19
Ordet,19
Au Hasard Balthazar,18
"Atalante, L'",17
Modern Times,17
"Règle du jeu, La",17
Sunrise,17
"Battle of Algiers, The",15
"Night of the Hunter, The",15
"strada, La",15
Touch of Evil,15
Amarcord,14
"Avventura, L'",14
City Lights,14
Come And See,14
"Godfather: Part II, The",14
"Gospel According to St Matthew, The",14
Stalker,14
Close-Up,13
"dolce vita, La",13
"Man Escaped, A",13
Passion of Joan of Arc,13
Playtime,13
Some Like It Hot,13
Viridiana,13
"Apartment, The",12
"mépris, Le",12
Once Upon a Time in the West,12
"eclisse, L'",11
Goodfellas,11
Hour of the Wolf,11
Lawrence of Arabia,11
Man with a Movie Camera,11
One Flew Over the Cuckoo's Nest,11
Pather Panchali,11
Pickpocket,11
Psycho,11
Rear Window,11
"Searchers, The",11
Shoah,11
"Aguirre, Wrath of God",10
Blow Up,10
Blue Velvet,10
"Conformist, The",10
Gertrud,10
"Good, the Bad and the Ugly, The",10
"grande illusion, La",10
"Woman Under the Influence, A",10
Badlands,9
Blade Runner,9
In The Mood For Love,9
Journey to Italy,9
Singin' in the Rain,9
Sunset Blvd.,9
Ugetsu Monogatari,9
Vivre Sa Vie,9
Battleship Potemkin,8
"Clockwork Orange, A",8
Elephant,8
Fear Eats the Soul,8
"General, The",8
Hidden,8
Husbands,8
Jaws,8
Kes,8
Los Olvidados,8
M,8
Mulholland Dr,8
"River, The",8
"Salo, or The 120 Days of Sodom",8
"Seventh Seal, The",8
"Shining, The",8
There Will Be Blood,8
"Wild Bunch, The",8
"argent, L'",7
Beau Travail,7
"chien andalou, Un",7
Chinatown,7
"Deer Hunter, The",7
Don't Look Now,7
"Gold Rush, The",7
I am Cuba,7
"Killing of a Chinese Bookie, The",7
Last Year At Marienbad,7
"Maman et la putain, La",7
Opening Night,7
Pierrot le Fou,7
"Samouraï, Le",7
Sans Soleil,7
Zero de Conduite,7
"Age d'Or, L'",6
Breaking the Waves,6
"Brighter Summer Day, A",6
Crimes and Misdemeanors,6
Dr. Strangelove,6
E.T.,6
Faces,6
Festen,6
It's a Wonderful Life,6
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",6
Jules et Jim,6
Letter From an Unknown Woman,6
Manhattan,6
Mouchette,6
Nights of Cabiria,6
North by Northwest,6
"notte, La",6
Paths of Glory,6
Pulp Fiction,6
Rocco and his Brothers,6
Sátántangó,6
Songs from the Second Floor,6
"Spirit of the Beehive, The",6
"Third Man, The",6
Alphaville,5
Annie Hall,5
Ashes and Diamonds,5
Belle de Jour,5
"Big Lebowski, The",5
Black Narcissus,5
Casablanca,5
"Cranes are Flying, The",5
Days of Heaven,5
"Discreet Charm of the Bourgeoisie, The",5
Do The Right Thing,5
"Enigma of Kaspar Hauser, The",5
"Exterminating Angel, The",5
Fargo,5
Germany Year Zero,5
Ikiru,5
"Leopard, The",5
"Man Who Shot Liberty Valance, The",5
Melancholia,5
Metropolis,5
My Darling Clementine,5
Nanook of the North,5
Nashville,5
Ran,5
Rio Bravo,5
Rome Open City,5
Rosetta,5
"Separation, A",5
"Short Film About Killing, A",5
"Silence, The",5
"Thin Red Line, The",5
To Be or Not To Be,5
Touki Bouki,5
"Travelling Players, The",5
"Tree of Life, The",5
Tropical Malady,5
Trouble in Paradise,5
"Turin Horse, The",5
"Umbrellas of Cherbourg, The",5
Uncle Boonmee Who Can Recall His Past Lives,5
Underground,5
"Werckmeister Harmonies, The",5
Au Revoir les enfants,4
Boudu Saved from Drowning,4
Butch Cassidy and The Sundance Kid,4
Code Unknown,4
Dancer in the Dark,4
"Death of Mr Lazarescu, The",4
Dersu Uzala,4
Diary,4
Dog Day Afternoon,4
Down By Law,4
"Executioner, The",4
Five Easy Pieces,4
"Grapes of Wrath, The",4
"Great Dictator, The",4
Happy Together,4
Hiroshima Mon Amour,4
"Jetée, La",4
Koyaanisqatsi,4
"Lady Eve, The",4
"Last Laugh, The",4
"Last Picture Show, The",4
Late Spring,4
"Life and Death of Colonel Blimp, The",4
"Life of Oharu, The",4
"Magnificent Ambersons, The",4
Memories of Underdevelopment,4
My Night with Maud,4
Napoleon,4
Night and Fog,4
On The Waterfront,4
Once Upon a Time in America,4
Performance,4
"Piano, The",4
Raise the Red Lantern,4
Reservoir Dogs,4
Rosemary's Baby,4
Solaris,4
Stranger than Paradise,4
"Tenant, The",4
Teorema,4
"Thin Blue Line, The",4
Through the Olive Trees,4
Umberto D,4
Vampyr,4
Veronika Voss,4
Videodrome,4
Walkabout,4
Wings of Desire,4
Woman of the Dunes,4
1900,3
"4 months, 3 weeks and 2 days",3
A nos Amours,3
Alien,3
All That Jazz,3
"Asphalt Jungle, The",3
"Bad Sleep Well, The",3
Barren Lives,3
Berlin Alexanderplatz,3
"Best Years of Our Lives, The",3
"Birds, The",3
"Black God, White Devil",3
Blissfully Yours,3
Bonnie and Clyde,3
Brief Encounter,3
Chungking Express,3
"Colour of Pomegranates, The",3
"Conversation, The",3
Cries and Whispers,3
Day of Wrath,3
Dogville,3
Early Summer,3
Empire,3
"enfants du paradis, Les",3
Eraserhead,3
Fitzcarraldo,3
Floating Weeds,3
"Flower of My Secret, The",3
"Flowers of St Francis, The",3
Freaks,3
"French Connection, The",3
Funny Games,3
"Goodbye, Dragon Inn",3
"Graduate, The",3
"Green Ray, The",3
"Grido, Il",3
Groundhog Day,3
Harold and Maude,3
Histoire(s) du cinéma,3
"Holy Mountain, The",3
"Hour of the Furnaces, The",3
"humanité, L'",3
"Idiots, The",3
Imitation of Life,3
In a Year of 13 Moons,3
"Innocents, The",3
Intolerance,3
Ivan's Childhood,3
Kagemusha,3
Kind Hearts and Coronets,3
Kiss Me Deadly,3
Landscape in the Mist,3
Love Streams,3
Magnolia,3
Marnie,3
Midnight Cowboy,3
"Misfits, The",3
My Neighbour Totoro,3
Nazarín,3
Network,3
Nostalghia,3
Once Upon a Time in Anatolia,3
"One and a Two, A",3
Out of the Past,3
Paisà,3
Pandora's Box,3
Peeping Tom,3
Picnic At Hanging Rock,3
Possession,3
Punch-Drunk Love,3
"Puppetmaster, The",3
Red River,3
Roma,3
"Round-Up, The",3
Russian Ark,3
"Sacrifice, The",3
Sansho Dayu,3
Satyricon,3
Snow White and the Seven Dwarfs,3
Spirited Away,3
Spring in a Small Town,3
Star Wars,3
"Story of Qiu Ju, The",3
"Story of the Late Chrysanthemums, The",3
Strangers on a Train,3
They Live By Night,3
Three Colours: Blue,3
Three Colours: Red,3
To Kill a Mockingbird,3
Tootsie,3
Two or Three Things I Know About Her…,3
Valentin de las Sierras,3
Viva l'Amour,3
"Wages of Fear, The",3
Wavelength,3
Where is My Friend's House?,3
"White Ribbon, The",3
Z,3
12 Angry Men,2
Accattone,2
After Life,2
"Age of the Earth, The",2
Alice in the Cities,2
All About Eve,2
Amelie,2
American Beauty,2
"American Friend, The",2
Arabian Nights,2
"Arguments and a Story or Reason, Debate and a Tale",2
Army of Shadows,2
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2
"Ascent, The",2
Assault on Precinct 13,2
Avatar,2
Bambi,2
Before the Rain,2
Being There,2
"Belle et la Bete, La",2
Big Deal on Madonna Street,2
"Big Heat, The",2
"Big Sleep, The",2
Black Girl,2
Black Orpheus,2
Blue,2
Boogie Nights,2
Brazil,2
"Cabinet of Dr Caligari, The",2
Carrie,2
Celine and Julie Go Boating,2
"cercle rouge, Le",2
Chimes at Midnight,2
Christine,2
"Ciénaga, La",2
City of God,2
"City of Sadness, A",2
"Cloud-Capped Star, The",2
Colossal Youth,2
"Crime of Monsieur Lange, The",2
"Crowd, The",2
Cul-de-Sac,2
Cyclo,2
D'est,2
Dead Man,2
Death in Venice,2
"Devil Probably, The",2
Diary of a Country Priest,2
Dodeskaden,2
"Double Life of Veronique, The",2
Dust in the Wind,2
Earth,2
East of Eden,2
Edvard Munch,2
El,2
"Elephant Man, The",2
"End of Summer, The",2
Entranced Earth,2
Europa 51,2
Evolution of a Filipino Family,2
Eyes Without a Face,2
F for Fake,2
Faits Divers,2
Fata Morgana,2
Faust,2
Flaming Creatures,2
Floating Clouds,2
Forrest Gump,2
Frankenstein,2
Full Metal Jacket,2
"Ghost and Mrs Muir, The",2
"Golden Thread, The",2
Gone with the Wind,2
Greed,2
Grey Gardens,2
Gummo,2
Hamlet,2
Hannah and Her Sisters,2
Head-On,2
Heaven's Gate,2
High and Low,2
"House is Black, The",2
Hud,2
Hunger,2
"Hustler, The",2
I Vitelloni,2
If….,2
In the Realm of the Senses,2
"Informer, The",2
"Insider, The",2
Ivan the Terrible,2
Johnny Guitar,2
"Jour se Leve, Le",2
Ju Dou,2
"Kid, The",2
Killer of Sheep,2
"Killing, The",2
King Kong,2
"King of Comedy, The",2
Kramer vs. Kramer,2
"Ladies Man, The",2
"Ladykillers, The",2
Lancelot Du Lac,2
"Last Bolshevik, The",2
"Last Movie, The",2
Lost Highway,2
Love in the Afternoon,2
"Lovers on the Bridge, The",2
Make Way for Tomorrow,2
Man on Wire,2
Marketa Lazarová,2
"Match Factory Girl, The",2
"Matter of Life and Death, A",2
McCabe and Mrs Miller,2
Meet Me In St. Louis,2
Milestones,2
"Milky Way, The",2
Modern Life,2
Mon Oncle,2
Monty Python's Life of Brian,2
Mothlight,2
Moulin Rouge,2
Muriel,2
"Music Room, The",2
