selection,year,director,url,row_id,voter,role,country,gender
Beshkempir,1998,Aktan Arym Kubat,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,1,Gulnara Abikeyeva,programmer,Kazakhstan,Female
Gabbeh,1996,Mohsen Makhmalbaf,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,2,Gulnara Abikeyeva,programmer,Kazakhstan,Female
Land of Fathers,1966,Shaken Aimanov,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,3,Gulnara Abikeyeva,programmer,Kazakhstan,Female
"Matrix, The",1999,Andy Wachowski/Lana Wachowski,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,4,Gulnara Abikeyeva,programmer,Kazakhstan,Female
Modern Times,1936,Charles Chaplin,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,5,Gulnara Abikeyeva,programmer,Kazakhstan,Female
Nights of Cabiria,1957,Federico Fellini,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,6,Gulnara Abikeyeva,programmer,Kazakhstan,Female
Rashomon,1950,Akira Kurosawa,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,7,Gulnara Abikeyeva,programmer,Kazakhstan,Female
Solaris,1972,Andrei Tarkovsky,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,8,Gulnara Abikeyeva,programmer,Kazakhstan,Female
"Spring, Summer, Fall, Winter and Spring…",2003,Kim Ki-Duk,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,9,Gulnara Abikeyeva,programmer,Kazakhstan,Female
Wild Strawberries,1957,Ingmar Bergman,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,10,Gulnara Abikeyeva,programmer,Kazakhstan,Female
Barry Lyndon,1975,Stanley Kubrick,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,11,Lenny Abrahamson,director,Ireland,Male
"Death of Mr Lazarescu, The",2005,Cristi Puiu,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,12,Lenny Abrahamson,director,Ireland,Male
"Enigma of Kaspar Hauser, The",1974,Werner Herzog,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,13,Lenny Abrahamson,director,Ireland,Male
Hidden,2004,Michael Haneke,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,14,Lenny Abrahamson,director,Ireland,Male
"Killing of a Chinese Bookie, The",1976,John Cassavetes,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,15,Lenny Abrahamson,director,Ireland,Male
