selection,year,director,url,row_id,voter,role,country,gender
Barry Lyndon,1975,Stanley Kubrick,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,11,Lenny Abrahamson,director,Ireland,Male
"Death of Mr Lazarescu, The",2005,Cristi Puiu,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,12,Lenny Abrahamson,director,Ireland,Male
"Enigma of Kaspar Hauser, The",1974,Werner Herzog,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,13,Lenny Abrahamson,director,Ireland,Male
Hidden,2004,Michael Haneke,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,14,Lenny Abrahamson,director,Ireland,Male
"Killing of a Chinese Bookie, The",1976,John Cassavetes,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,15,Lenny Abrahamson,director,Ireland,Male
"Man Escaped, A",1956,Robert Bresson,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,16,Lenny Abrahamson,director,Ireland,Male
"Match Factory Girl, The",1990,Aki Kaurismaki,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,17,Lenny Abrahamson,director,Ireland,Male
Mirror,1974,Andrei Tarkovsky,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,18,Lenny Abrahamson,director,Ireland,Male
My Childhood,1972,Bill Douglas,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,19,Lenny Abrahamson,director,Ireland,Male
"Silence, The",1963,Ingmar Bergman,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,20,Lenny Abrahamson,director,Ireland,Male
"Aguirre, Wrath of God",1972,Werner Herzog,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,31,Newton Aduaka,director,Nigerla,Male
Apocalypse Now,1979,Francis Ford Coppola,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,32,Newton Aduaka,director,Nigerla,Male
Killer of Sheep,1977,Charles Burnett,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,33,Newton Aduaka,director,Nigerla,Male
Memories of Underdevelopment,1968,Tomás Gutiérrez Alea,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,34,Newton Aduaka,director,Nigerla,Male
"Pawnbroker, The",1964,Sydney Lumet,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,35,Newton Aduaka,director,Nigerla,Male
Saraband,2003,Ingmar Bergman,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,36,Newton Aduaka,director,Nigerla,Male
"Short Film About Killing, A",1987,Krzysztof Kieslowski,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,37,Newton Aduaka,director,Nigerla,Male
"Spirit of the Beehive, The",1973,Víctor Erice,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,38,Newton Aduaka,director,Nigerla,Male
Underground,1995,Emir Kusturica,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,39,Newton Aduaka,director,Nigerla,Male
Yeelen,1987,Souleymane Cisse,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,40,Newton Aduaka,director,Nigerla,Male
