voter,role,country,gender,voter_url
Lenny Abrahamson,director,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033
Newton Aduaka,director,Nigerla,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090
Alejandro Agresti,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/855
Pedro Aguilera,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1115
Ashim Ahluwalia,director,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/886
Mania Akbari,director,Iran,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1046
Mohamed Al-Daradji,director,Iraq/Holland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1081
Woody Allen,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1200
Lisandro Alonso,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1035
Tata Amaral,director,Brazil,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1180
Suzana Amaral,director,Brazil,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1178
Thom Andersen,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1183
Roy Andersson,director,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1154
Arild Andresen,director,Norway,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/884
Mauro Andrizzi,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1063
Joko Anwar,director,Indonesia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1002
Michael Apted,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1065
Gregg Araki,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/961
Aditya Assarat,director,Thailand,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/849
Olivier Assayas,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1099
Kutlug Ataman,director,Turkey,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1029
Ahmed Atef,director,Egypt,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/852
Richard Ayoade,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1142
Clio Barnard,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/915
Jiří Barta,director,Czech Republic,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/993
Juan Antonio Bayona,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1011
Henry Bean,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/970
Hagar Ben-Asher,director,Israel,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/965
Faouzi Bensaïdi,director,Morocco,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/943
Susanne Bier,director,Denmark,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1177
Andrew Birkin,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/866
Les Blank,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1034
Ole Bornedal,director,Denmark,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1097
Don Boyd,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/931
Kenneth Branagh,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1020
Janez Burger,director,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/984
Charles Burnett,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/910
Paul Bush,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1109
Juan Campanella,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1012
Antonio Campos,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/881
Nae Caranfil,director,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1086
Niki Caro,director,New Zealand/US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1093
Michael Caton Jones,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1066
Joseph Cedar,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1008
Nuri Bilge Ceylan,director,Turkey,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1095
Evans Chan,director,China/Hong Kong/US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/942
Andrew Yusu Cheng,director,China,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/870
Vidhu Vinod Chopra,director,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1192
Thomas Clay,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1184
Fernando Colomo,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/946
Francis Ford Coppola,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/948
Anton Corbijn,director,Netherlands,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/880
Rodrigo Cortés,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1149
Edgardo Cozarinsky,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/935
Marian Crisan,director,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1054
Phan Dang-Di,director,Vietnam,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1128
Jean-Pierre & Luc Dardenne,director,Belgium,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/989
Terence Davies,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1181
Peter Davis,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1119
Rolf de Heer,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1152
Manoel de Oliveira,director,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1047
José María de Orbe,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1007
Tacita Dean,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1179
Guillermo del Toro,director,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/962
Jeremy Deller,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/992
Andrés Di Tella,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/865
Andrew Dominik,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/867
Andreas Dresen,director,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/863
Sara Driver,director,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1161
Michael Dudok de Wit,director,Netherlands/UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1067
Jay Duplass,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/986
Sean Durkin,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1164
Marco Dutra,director,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1053
Amit Dutta,director,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/860
Sergey Dvortsevoy,director,Kazakhstan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1165
Edwin,director,Indonesia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/936
Nicolás Echevarría,director,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1091
Gareth Edwards,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/950
Atom Egoyan,director,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/889
Heinz Emigholz,director,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/968
Amat Escalante,director,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/859
Richard Eyre,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1143
Asghar Farhadi,director,Iran,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1204
Peter Farrelly,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1120
Pablo Fendrik,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1100
Abel Ferrara,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/848
Manuel Ferrari,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1049
Sophie Fiennes,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1173
Mike Figgis,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1073
Morgan Fisher,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1084
Bence Fliegauf,director,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/899
Juan Carlos Fresnadillo,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1013
Cyrus Frisch,director,Netherlands,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/920
Robert Gardner,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1148
John Gianvito,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/999
Pablo Giorgelli,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1101
Amos Gitai,director,Israel,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/861
Michael Glawogger,director,Austria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1068
Jonathan Glazer,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1003
Srdan Golubovic,director,Serbia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1174
Miguel Gomes,director,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1070
Adoor Gopalakrishnan,director,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/850
